,Year,value,flood
396,1998-01-01,0.0,0
397,1998-02-01,0.0,0
398,1998-03-01,0.0,0
399,1998-04-01,31.0,0
400,1998-05-01,5.0,0
401,1998-06-01,57.0,0
402,1998-07-01,134.0,0
403,1998-08-01,147.0,0
404,1998-09-01,108.0,0
405,1998-10-01,227.0,0
406,1998-11-01,401.0,0
407,1998-12-01,224.0,0
408,1999-01-01,2.0,0
409,1999-02-01,0.0,0
410,1999-03-01,0.0,0
411,1999-04-01,11.0,0
412,1999-05-01,7.0,0
413,1999-06-01,9.0,0
414,1999-07-01,11.0,0
415,1999-08-01,45.0,0
416,1999-09-01,39.0,0
417,1999-10-01,232.0,0
418,1999-11-01,216.0,0
419,1999-12-01,52.0,0
420,2000-01-01,0.0,0
421,2000-02-01,244.0,0
422,2000-03-01,0.0,0
423,2000-04-01,4.0,0
424,2000-05-01,40.0,0
425,2000-06-01,76.0,0
426,2000-07-01,72.0,0
427,2000-08-01,162.0,0
428,2000-09-01,57.0,0
429,2000-10-01,218.0,0
430,2000-11-01,96.0,0
431,2000-12-01,92.0,0
432,2001-01-01,0.0,0
433,2001-02-01,0.0,0
434,2001-03-01,3.0,0
435,2001-04-01,155.0,0
436,2001-05-01,18.0,0
437,2001-06-01,49.0,0
438,2001-07-01,82.0,0
439,2001-08-01,80.0,0
440,2001-09-01,135.0,0
441,2001-10-01,372.0,0
442,2001-11-01,242.0,0
443,2001-12-01,264.0,0
444,2002-01-01,56.0,0
445,2002-02-01,0.0,0
446,2002-03-01,0.0,0
447,2002-04-01,0.0,0
448,2002-05-01,61.0,0
449,2002-06-01,42.0,0
450,2002-07-01,95.0,0
451,2002-08-01,110.0,0
452,2002-09-01,159.0,0
453,2002-10-01,279.0,0
454,2002-11-01,307.0,0
455,2002-12-01,20.0,0
456,2003-01-01,0.0,0
457,2003-02-01,0.0,0
458,2003-03-01,5.0,0
459,2003-04-01,5.0,0
460,2003-05-01,6.0,0
461,2003-06-01,26.0,0
462,2003-07-01,141.0,0
463,2003-08-01,139.0,0
464,2003-09-01,103.0,0
465,2003-10-01,231.0,0
466,2003-11-01,98.0,0
467,2003-12-01,56.0,0
468,2004-01-01,30.0,0
469,2004-02-01,0.0,0
470,2004-03-01,0.0,0
471,2004-04-01,7.0,0
472,2004-05-01,229.0,0
473,2004-06-01,50.0,0
474,2004-07-01,51.0,0
475,2004-08-01,37.0,0
476,2004-09-01,191.0,0
477,2004-10-01,275.0,0
478,2004-11-01,297.0,0
479,2004-12-01,5.0,0
480,2005-01-01,0.0,0
481,2005-02-01,0.0,0
482,2005-03-01,9.0,0
483,2005-04-01,101.0,0
484,2005-05-01,32.0,0
485,2005-06-01,52.0,0
486,2005-07-01,84.0,0
487,2005-08-01,119.0,0
488,2005-09-01,207.0,0
489,2005-10-01,590.0,0
490,2005-11-01,514.0,1
491,2005-12-01,501.0,1
492,2006-01-01,0.0,0
493,2006-02-01,0.0,0
494,2006-03-01,28.0,0
495,2006-04-01,31.0,0
496,2006-05-01,22.0,0
497,2006-06-01,139.0,0
498,2006-07-01,55.0,0
499,2006-08-01,113.0,0
500,2006-09-01,172.0,0
501,2006-10-01,420.0,0
502,2006-11-01,224.0,0
503,2006-12-01,36.0,0
504,2007-01-01,0.0,0
505,2007-02-01,6.0,0
506,2007-03-01,0.0,0
507,2007-04-01,12.0,0
508,2007-05-01,19.0,0
509,2007-06-01,68.0,0
510,2007-07-01,245.0,0
511,2007-08-01,271.0,0
512,2007-09-01,175.0,0
513,2007-10-01,265.0,0
514,2007-11-01,118.0,0
515,2007-12-01,270.0,0
516,2008-01-01,85.0,0
517,2008-02-01,6.0,0
518,2008-03-01,189.0,0
519,2008-04-01,0.0,0
520,2008-05-01,28.0,0
521,2008-06-01,128.0,0
522,2008-07-01,89.0,0
523,2008-08-01,136.0,0
524,2008-09-01,121.0,0
525,2008-10-01,327.0,0
526,2008-11-01,530.0,0
